observation_date,MORTGAGE15US
2007-02-08,6.02
2007-02-15,6.03
2007-02-22,5.97
2007-03-01,5.92
2007-03-08,5.86
2007-03-15,5.88
2007-03-22,5.90
2007-03-29,5.86
2007-04-05,5.87
2007-04-12,5.90
2007-04-19,5.89
2007-04-26,5.87
2007-05-03,5.87
2007-05-10,5.87
2007-05-17,5.92
2007-05-24,6.06
2007-05-31,6.12
2007-06-07,6.22
2007-06-14,6.43
2007-06-21,6.37
2007-06-28,6.34
2007-07-05,6.30
2007-07-12,6.39
2007-07-19,6.38
2007-07-26,6.37
2007-08-02,6.32
2007-08-09,6.25
2007-08-16,6.30
2007-08-23,6.18
2007-08-30,6.12
2007-09-06,6.15
2007-09-13,5.97
2007-09-20,5.98
2007-09-27,6.09
2007-10-04,6.03
2007-10-11,6.06
2007-10-18,6.08
2007-10-25,5.99
2007-11-01,5.91
2007-11-08,5.90
2007-11-15,5.88
2007-11-21,5.83
2007-11-29,5.73
2007-12-06,5.65
2007-12-13,5.78
2007-12-20,5.79
2007-12-27,5.79
2008-01-03,5.68
2008-01-10,5.43
2008-01-17,5.21
2008-01-24,4.95
2008-01-31,5.17
2008-02-07,5.15
2008-02-14,5.25
2008-02-21,5.64
2008-02-28,5.72
2008-03-06,5.47
2008-03-13,5.60
2008-03-20,5.27
2008-03-27,5.34
2008-04-03,5.42
2008-04-10,5.42
2008-04-17,5.40
2008-04-24,5.62
2008-05-01,5.59
2008-05-08,5.60
2008-05-15,5.60
2008-05-22,5.55
2008-05-29,5.66
2008-06-05,5.65
2008-06-12,5.93
2008-06-19,6.02
2008-06-26,6.04
2008-07-03,5.92
2008-07-10,5.91
2008-07-17,5.78
2008-07-24,6.18
2008-07-31,6.07
2008-08-07,6.10
2008-08-14,6.07
2008-08-21,6.00
2008-08-28,5.93
2008-09-04,5.90
2008-09-11,5.54
2008-09-18,5.35
2008-09-25,5.77
2008-10-02,5.78
2008-10-09,5.63
2008-10-16,6.14
2008-10-23,5.72
2008-10-30,6.19
2008-11-06,5.88
2008-11-13,5.81
2008-11-20,5.73
2008-11-26,5.74
2008-12-04,5.33
2008-12-11,5.20
2008-12-18,4.92
2008-12-24,4.91
2008-12-31,4.83
2009-01-08,4.62
2009-01-15,4.65
2009-01-22,4.80
2009-01-29,4.80
2009-02-05,4.92
2009-02-12,4.81
2009-02-19,4.68
2009-02-26,4.68
2009-03-05,4.72
2009-03-12,4.64
2009-03-19,4.61
2009-03-26,4.58
2009-04-02,4.52
2009-04-09,4.54
2009-04-16,4.48
2009-04-23,4.48
2009-04-30,4.48
2009-05-07,4.51
2009-05-14,4.52
2009-05-21,4.50
2009-05-28,4.53
2009-06-04,4.79
2009-06-11,5.06
2009-06-18,4.89
2009-06-25,4.87
2009-07-02,4.77
2009-07-09,4.69
2009-07-16,4.63
2009-07-23,4.68
2009-07-30,4.69
2009-08-06,4.63
2009-08-13,4.68
2009-08-20,4.56
2009-08-27,4.58
2009-09-03,4.54
2009-09-10,4.50
2009-09-17,4.47
2009-09-24,4.46
2009-10-01,4.36
2009-10-08,4.33
2009-10-15,4.37
2009-10-22,4.43
2009-10-29,4.46
2009-11-05,4.40
2009-11-12,4.36
2009-11-19,4.32
2009-11-25,4.29
2009-12-03,4.27
2009-12-10,4.32
2009-12-17,4.38
2009-12-24,4.45
2009-12-31,4.54
2010-01-07,4.50
2010-01-14,4.45
2010-01-21,4.40
2010-01-28,4.39
2010-02-04,4.40
2010-02-11,4.34
2010-02-18,4.33
2010-02-25,4.40
2010-03-04,4.33
2010-03-11,4.32
2010-03-18,4.33
2010-03-25,4.34
2010-04-01,4.39
2010-04-08,4.52
2010-04-15,4.40
2010-04-22,4.39
2010-04-29,4.39
2010-05-06,4.36
2010-05-13,4.30
2010-05-20,4.24
2010-05-27,4.21
2010-06-03,4.20
2010-06-10,4.17
