,selected
x0,False
x1,False
x2,False
x3,False
x4,False
x5,False
x6,False
x7,False
x8,False
x9,False
x10,False
x11,False
x12,False
x13,False
x14,False
x15,True
x16,False
x17,False
x18,False
x19,False
x20,False
x21,False
x22,False
x23,False
x24,False
x25,False
x26,False
x27,True
x28,False
x29,False
x30,False
x31,False
x32,False
x33,False
x34,False
x35,False
x36,False
x37,False
x38,False
x39,False
x40,False
x41,False
x42,False
x43,False
x44,False
x45,False
x46,False
x47,False
x48,False
x49,False
x50,False
x51,False
x52,False
x53,False
x54,False
x55,False
x56,False
x57,False
x58,False
x59,False
x60,False
x61,False
x62,False
x63,False
x64,False
x65,False
x66,False
x67,False
x68,False
x69,False
x70,False
x71,False
x72,False
x73,False
x74,False
x75,False
x76,False
x77,False
x78,False
x79,False
x80,False
x81,False
x82,False
x83,False
x84,False
x85,False
x86,False
x87,False
x88,False
x89,False
x90,False
x91,False
x92,True
x93,False
x94,False
x95,False
x96,False
x97,False
x98,False
x99,False
x100,False
x101,False
x102,False
x103,False
x104,False
x105,False
x106,False
x107,False
x108,False
x109,False
x110,False
x111,False
x112,False
x113,True
x114,False
x115,True
x116,False
x117,False
x118,False
x119,False
x120,False
x121,False
x122,False
x123,False
x124,False
x125,False
x126,False
x127,False
x128,False
x129,False
x130,False
x131,False
x132,False
x133,True
x134,False
x135,False
x136,False
x137,False
x138,False
x139,False
x140,False
x141,False
x142,False
x143,False
x144,False
x145,False
x146,False
x147,False
x148,False
x149,False
x150,False
x151,False
x152,False
x153,False
x154,False
x155,False
x156,False
x157,False
x158,False
x159,True
x160,False
x161,False
x162,False
x163,False
x164,False
x165,False
x166,False
x167,False
x168,False
x169,False
x170,False
x171,False
x172,False
x173,False
x174,False
x175,False
x176,False
x177,True
x178,False
x179,False
x180,False
x181,False
x182,False
x183,False
x184,False
x185,False
x186,False
x187,False
x188,False
x189,False
x190,False
x191,False
x192,False
x193,False
x194,True
x195,False
x196,False
x197,False
x198,False
x199,False
x200,True
x201,False
x202,False
x203,False
x204,False
x205,False
x206,False
x207,False
x208,False
x209,True
x210,False
x211,False
x212,False
x213,False
x214,False
x215,False
x216,False
x217,False
x218,False
x219,False
x220,False
x221,False
x222,False
x223,False
x224,False
x225,False
x226,False
x227,False
x228,False
x229,False
x230,False
x231,False
x232,False
x233,False
x234,False
x235,False
x236,False
x237,False
x238,False
x239,False
x240,True
x241,False
x242,True
x243,False
x244,False
x245,False
x246,False
x247,False
x248,False
x249,False
x250,False
x251,False
x252,False
x253,False
x254,False
x255,False
x256,False
x257,False
x258,False
x259,False
x260,False
x261,False
x262,False
x263,False
x264,False
x265,False
x266,False
x267,False
x268,False
x269,False
x270,False
x271,False
x272,False
x273,False
x274,False
x275,False
x276,False
x277,False
x278,False
x279,False
x280,False
x281,False
x282,False
x283,False
x284,False
x285,False
x286,False
x287,False
x288,False
x289,False
x290,False
x291,False
x292,False
x293,False
x294,False
x295,False
x296,False
x297,False
x298,False
x299,False
x300,False
x301,False
x302,False
x303,False
x304,False
x305,False
x306,False
x307,False
x308,False
x309,False
x310,False
x311,False
x312,False
x313,False
x314,False
x315,True
x316,False
x317,False
x318,False
x319,False
x320,False
x321,False
x322,False
x323,False
x324,False
x325,True
x326,False
x327,False
x328,False
x329,False
x330,False
x331,False
x332,False
x333,False
x334,True
x335,False
x336,False
x337,False
x338,False
x339,False
x340,False
x341,False
x342,False
x343,False
x344,False
x345,False
x346,False
x347,False
x348,False
x349,True
x350,False
x351,False
x352,False
x353,False
x354,False
x355,False
x356,False
x357,False
x358,False
x359,False
x360,False
x361,False
x362,True
x363,False
x364,False
x365,False
x366,False
x367,False
x368,False
x369,False
x370,False
x371,False
x372,False
x373,False
x374,False
x375,False
x376,False
x377,False
x378,False
x379,False
x380,False
x381,False
x382,False
x383,False
x384,False
x385,False
x386,False
x387,False
x388,False
x389,False
x390,False
x391,False
x392,False
x393,False
x394,False
x395,False
x396,False
x397,False
x398,False
x399,False
x400,False
x401,False
x402,False
x403,False
x404,False
x405,False
x406,False
x407,False
x408,False
x409,False
x410,False
x411,False
x412,False
x413,False
x414,False
x415,True
x416,False
x417,False
x418,False
x419,False
x420,False
x421,False
x422,False
x423,False
x424,False
x425,False
x426,False
x427,False
x428,False
x429,False
x430,False
x431,False
x432,False
x433,False
x434,False
x435,False
x436,False
x437,False
x438,False
x439,False
x440,False
x441,False
x442,False
x443,False
x444,False
x445,False
x446,False
x447,False
x448,False
x449,False
x450,False
x451,False
x452,False
x453,False
x454,False
x455,False
x456,False
x457,False
x458,True
x459,False
x460,False
x461,False
x462,False
x463,False
x464,False
x465,True
x466,False
x467,False
x468,False
x469,False
x470,False
x471,False
x472,False
x473,False
x474,False
x475,False
x476,False
x477,False
x478,False
x479,False
x480,False
x481,False
x482,False
x483,False
x484,False
x485,True
x486,False
x487,False
x488,False
x489,False
x490,False
x491,False
x492,False
x493,False
x494,False
x495,False
x496,False
x497,False
x498,False
x499,False
x500,False
x501,False
x502,False
x503,False
x504,False
x505,False
x506,False
x507,True
x508,False
x509,False
x510,False
x511,False
x512,False
x513,False
x514,False
x515,False
x516,False
x517,False
x518,False
x519,False
x520,False
x521,False
x522,False
x523,False
x524,False
x525,False
x526,False
x527,False
x528,False
x529,False
x530,False
x531,True
x532,False
x533,False
x534,False
x535,False
x536,False
x537,False
x538,True
x539,False
x540,False
x541,False
x542,False
x543,False
x544,False
x545,False
x546,True
x547,True
x548,False
x549,False
x550,False
x551,False
x552,False
x553,False
x554,False
x555,False
x556,False
x557,False
x558,False
x559,False
x560,False
x561,False
x562,False
x563,False
x564,False
x565,False
x566,False
x567,False
x568,False
x569,False
x570,False
x571,False
x572,False
x573,False
x574,False
x575,False
x576,False
x577,False
x578,False
x579,False
x580,False
x581,False
