,importance
x415,0.1483338263651511
x115,0.13628507465535103
x742,0.032560140486682064
x641,0.03012220954948657
x458,0.030045995633185222
x507,0.015718136782221566
x334,0.011782714835799986
x194,0.011374220127864978
x133,0.00966472248199577
x325,0.009256908046554359
x485,0.009006459215350218
x159,0.007545365964948202
x242,0.0069057365046976986
x362,0.0067642514931224905
x209,0.006692925016942456
x113,0.005600661857210027
x465,0.004729580917563066
x315,0.004104852730150071
x642,0.0038986322364613873
x200,0.003794580020699935
x240,0.0037427994642414506
x726,0.0033675021235732164
x702,0.003361381868992354
x27,0.003301065761593435
x654,0.003277042981679316
x320,0.003253401863095349
x671,0.0031809779556280036
x720,0.0031635255241560683
x531,0.0031314821927914296
x547,0.003084132885545855
x546,0.0030624364513946022
x538,0.0029472346187442017
x479,0.002814353244390991
x711,0.0027151690791387163
x231,0.002638040736035292
x326,0.0026151753183770977
x640,0.002446520813610804
x173,0.0023722979414332115
x2,0.0023623438290804083
x410,0.002331101600091506
x349,0.0022565670682606386
x721,0.0022487708602955013
x15,0.0022310550209375174
x286,0.0022222584090792774
x92,0.0022097266242999273
x644,0.0021589073010475175
x828,0.002118753381076386
x177,0.002031223193257921
x310,0.0020286062170348333
x766,0.0020201187102709913
x23,0.0019727083231368962
x309,0.001897097674679261
x287,0.001886619363816891
x484,0.001878306245976584
x665,0.0018595665274446637
x748,0.0018084401920735217
x0,0.0018019443170921789
x829,0.0017348458725201384
x254,0.001729047243366609
x172,0.00169767622756463
x712,0.0016695547417531896
x817,0.0016659976934297618
x517,0.0016311093860374758
x477,0.0016055245613855733
x306,0.0016028107405621009
x528,0.001578719983086921
x196,0.0015619577373792116
x788,0.001539601345720492
x193,0.001467027791344819
x18,0.0014665197310936827
x777,0.0014517059431529075
x342,0.0014338137505966243
x29,0.001415114100613245
x451,0.0013928051265713335
x26,0.0013913603573869281
x703,0.0013844681571295399
x440,0.0013663017047752285
x496,0.001362826823817697
x650,0.0013596236737439488
x562,0.0013413225588776126
x725,0.001294718514863252
x380,0.0012907989684828557
x233,0.0012897482992495425
x613,0.0012734889846096897
x214,0.001265655836306098
x42,0.001253160365889159
x512,0.001243978990885387
x87,0.0012383345421490362
x590,0.0012352087457386644
x768,0.0012209185657723564
x662,0.0012146161267624312
x327,0.0012097422769992755
x312,0.0011967145826307078
x437,0.001189452927426757
x706,0.0011704621289707461
x696,0.001159901480343739
x276,0.0011554972676599013
x594,0.0011482641835902354
x230,0.001145979264555678
x769,0.0011161733528253644
x350,0.001104732171282991
x456,0.0010935840994713711
x675,0.0010848241078331774
x213,0.0010809390579925547
x263,0.0010693464704778478
x649,0.0010658063504428218
x819,0.0010621176951147297
x176,0.0010617235882973387
x763,0.0010495674152835872
x634,0.0010378683538406425
x383,0.0010359792665128797
x734,0.0010359072675886084
x203,0.0010336116310211536
x169,0.0010325639718376924
x125,0.0010299683523051278
x232,0.001013290680748359
x493,0.0010083269296708038
x554,0.0010078619226605912
x395,0.0010064510820164327
x359,0.0010062678322194628
x542,0.0009959050589800002
x659,0.0009892816666916392
x778,0.000979686764022406
x731,0.000955542393058747
x578,0.0009333080448466671
x402,0.0009210749435679101
x824,0.0009193221082549342
x413,0.0009168629955807994
x612,0.0009085017840177019
x821,0.0009081457442009559
x745,0.0009050152566403868
x775,0.0009014342748749603
x283,0.0009004989649814669
x121,0.0009002847371541273
x452,0.0008967559837284669
x759,0.0008866809555778087
x572,0.0008862967671815133
x211,0.0008834880090444581
x319,0.0008809164074894854
x587,0.0008759081341549441
x277,0.0008750934538562829
x548,0.0008737101531080746
x447,0.0008649160344806609
x603,0.0008648283641870502
x378,0.00085722109858913
x146,0.0008550598311346804
x358,0.0008525778237094562
x764,0.0008511308979220005
x218,0.0008497080466535205
x780,0.0008496057488322765
x291,0.0008453696273317086
x443,0.0008443725695340747
x688,0.0008416590795391988
x393,0.0008381575279350812
x245,0.0008370351600228678
x621,0.0008357004117752241
x356,0.0008309123348296837
x178,0.0008190213538366343
x141,0.0008151054615256017
x761,0.0008085081911296262
x144,0.0008065648404534393
x527,0.0008059283851900317
x619,0.0008058773957942745
x247,0.0008048372027232344
x298,0.0008044994215877967
x399,0.0008014634693283188
x234,0.0007980221960135898
x670,0.0007980063076826007
x257,0.0007958266729610525
x89,0.0007891043403270085
x805,0.0007871827365427883
x454,0.0007870134795144937
x52,0.0007831109780238973
x404,0.0007826720526014747
x480,0.0007822662816246164
x432,0.0007716507771964788
x6,0.0007697081441593706
x216,0.0007658969033303988
x565,0.0007569850706740875
x333,0.0007548897565423905
x809,0.000754655935049583
x77,0.000753871568610464
x783,0.0007508594465825635
x238,0.0007500149192343805
x520,0.0007489691051757889
x668,0.0007453525902464756
x166,0.0007384878755646758
x210,0.0007369894252853854
x165,0.0007332844999237494
x183,0.0007291312431290637
x445,0.0007287849185963254
x661,0.0007252173861372341
x564,0.0007236307845047473
x260,0.0007162494490275083
x20,0.0007158813867833309
x543,0.0007131543570739387
x308,0.0007123621691601793
x81,0.0007106533614224772
x571,0.0007076601007870025
x704,0.0007061915639855608
x678,0.0007050584793867633
x114,0.0007042867902105791
x818,0.0007019254769727536
x344,0.0007013724680076735
x681,0.0007003972774851828
x648,0.0006983827091472008
x773,0.0006965177673751815
x793,0.0006960646363049234
x823,0.0006932673811937362
x171,0.000689581010739622
x495,0.0006868201222828903
x827,0.0006835253981315631
x796,0.0006816289144265181
x186,0.0006805279947109036
x472,0.000678817982914954
x155,0.0006771086517199178
x345,0.00067702102213338
x672,0.0006769847020242826
x469,0.000675377289083123
x40,0.0006717033229549393
x1,0.0006690869049718249
x536,0.0006690643939261486
x256,0.0006688021074301579
x658,0.0006648265690610833
x657,0.0006639127559064146
x633,0.0006629411212280602
x168,0.0006598202260130435
x182,0.000659594007232093
x250,0.000658437176875329
x201,0.0006571618650113776
x511,0.00065627597759994
x553,0.000654861592231383
x328,0.0006538169985976159
x382,0.0006515515427600993
x602,0.0006511458552440267
x152,0.0006494296528644731
x143,0.000647325175696774
x377,0.0006451214105521449
x217,0.0006424252135097326
x161,0.0006419612942102852
x636,0.000641172643237268
x339,0.0006379539886289534
x444,0.0006355406915568133
x559,0.0006352053642607029
x199,0.0006340924116852561
x581,0.000630699945460644
x337,0.0006288565299607827
x368,0.0006282975885223962
x751,0.0006238631360497364
x728,0.0006237261825343655
x523,0.000623564688762896
x414,0.0006220614533471369
x433,0.0006218688115254522
