,importance
x115,0.5181010516689526
x415,0.44707498856881545
x742,0.1289954275262916
x641,0.08795518975765862
x325,0.05206127114769057
x458,0.0478600823045265
x334,0.03175308641975265
x242,0.029062642889803224
x194,0.02050342935528109
x133,0.019614083219020983
x507,0.018655235482395716
x159,0.016423411065385984
x485,0.015604938271604807
x748,0.01515775034293516
x721,0.013755372656606734
x92,0.01364609053497876
x410,0.01334476451760378
x642,0.012718335619569832
x315,0.01151120256058511
x0,0.011508459076360288
x720,0.01064700502972089
x231,0.010424325560127734
x654,0.009556012802926173
x712,0.009013717421124534
x546,0.00861911294010027
x726,0.008347508001828619
x531,0.008329218106995873
x768,0.008283950617283597
x702,0.007841335162322372
x665,0.007482395976222999
x496,0.007352994970279037
x554,0.00734979423868265
x173,0.0072994970278917656
x829,0.007058984910836763
x671,0.006973936899862254
x18,0.006919524462734028
x456,0.006829903978052165
x342,0.006804298125285513
x538,0.006747142203932022
x817,0.006680841335161914
x27,0.006000914494741183
x465,0.0053447645176039945
x15,0.005286236854137982
x590,0.005266117969821504
x42,0.005107910379515035
x326,0.005018747142203716
x306,0.0049112940100593415
x649,0.004759030635573635
x452,0.004585733882029963
x711,0.004565157750342763
x777,0.0045230909922267856
x828,0.0044526748971190685
x479,0.00443118427069007
x731,0.004429355281207003
x404,0.0043461362597160495
x675,0.004239140374942751
x548,0.004118884316414917
x566,0.00411385459533622
x2,0.003721079103794578
x232,0.003668495656149773
x819,0.0036611796982166656
x383,0.0036529492455418034
x209,0.003534064929126712
x203,0.0034234110653864392
x644,0.003416552354823832
x823,0.003405121170553116
x668,0.0033918609967990678
x166,0.00339003200731538
x698,0.00332007315957914
x327,0.0032962962962961306
x312,0.003286694101508747
x250,0.0031550068587104184
x594,0.0031312299954271428
x286,0.003054412437128606
x177,0.0029725651577503067
x528,0.0029538180155462166
x493,0.002930955647004696
x287,0.002841792409693511
x766,0.0027969821673518693
x633,0.0027069044352991513
x774,0.0025807041609506864
x40,0.002545496113397094
x425,0.0025139460448095454
x309,0.0024961133973475215
x659,0.0024705075445814904
x277,0.0023712848651116667
x484,0.0023653406492913477
x758,0.002341563786008205
x168,0.0023287608596246124
x316,0.002326017375399747
x672,0.0022830361225418374
x143,0.0022679469593048563
x595,0.002257430269775362
x610,0.002240969364425993
x433,0.00222633744855929
x276,0.002203475080017947
x155,0.0021874714220390334
x443,0.0021636945587557134
x6,0.002140832190214992
x662,0.0021047096479189344
x809,0.002080018289894614
x172,0.0020173754000912146
x183,0.001990397805212396
x759,0.0019465020576130865
x5,0.0019282121627797633
x523,0.001914494741654993
x34,0.0019039780521261651
x141,0.0018966620941926581
x764,0.001861454046638622
x616,0.0018363054412437129
x176,0.001831732967534938
x463,0.0018070416095106623
x437,0.0018065843621396294
x283,0.0017700045724732493
x181,0.00176863283036095
x214,0.0017677183356195059
x106,0.0017297668038406045
x617,0.001724737082761152
x397,0.0017215363511659198
x406,0.0017178783721988554
x217,0.0017041609510745292
x145,0.0017005029721077758
x542,0.0016483767718332043
x657,0.0016401463191587418
x98,0.0016378600823039769
x457,0.0016332876085959568
x567,0.001619112940100287
x478,0.0016031092821215064
x555,0.0015953360768174107
x282,0.001591220850479891
x670,0.0015793324188384083
x545,0.0015596707818926081
x165,0.0015358939186098208
x619,0.0015189757658891079
x461,0.0014983996342018634
x592,0.001483310470964616
x169,0.0014746227709191207
x522,0.0014631915866480938
x767,0.0014522176497480555
x500,0.0014215820759027943
x87,0.0014124371284860437
x358,0.0014042066758117144
x369,0.0014019204389573048
x740,0.001400548696844961
x68,0.0013909465020574441
x799,0.001385916780978258
x510,0.001385002286236814
x359,0.0013790580704159615
x691,0.0013726566072239875
x689,0.0013548239597617861
x622,0.0013443072702330472
x345,0.0013433927754911146
x201,0.0013360768175582737
x26,0.0013200731595792714
x718,0.0013145861911294076
x508,0.0013072702331960785
x193,0.001299039780520994
x211,0.0012962962962962178
x223,0.0012962962962961289
x399,0.001294924554183652
x773,0.0012638317329672244
x402,0.0012597165066294824
x381,0.0012546867855505184
x669,0.0012322816643801637
x57,0.001230452674896565
x614,0.0012153635116594064
x366,0.0012121627800637303
x65,0.001211248285322286
x414,0.0012112482853220198
x472,0.00120896204846761
x254,0.0011961591220847722
x85,0.0011860996799263556
x23,0.0011806127114769361
x318,0.0011801554641055923
x785,0.0011774119798809047
x565,0.001158207590306004
x686,0.0011531778692269955
x606,0.001152263374485063
x663,0.0011216278006402902
x737,0.0011211705532690353
x792,0.0011120256058525068
x526,0.0011106538637402075
x717,0.0011083676268855759
x247,0.0011037951531778667
x320,0.0010955647005031822
x257,0.001095107453131705
x715,0.0010946502057613827
x246,0.0010905349794238183
x61,0.0010873342478278313
x219,0.001086419753086032
x310,0.0010813900320070235
x182,0.00106172839506109
x292,0.0010576131687238366
x163,0.001055784179240371
x780,0.0010434385002281222
x260,0.0010397805212619903
x103,0.0010388660265196136
x703,0.0010365797896660033
x646,0.001018289894832547
x367,0.0010086877000452966
x623,0.0010064014631919083
x150,0.0010045724737082651
x332,0.0010013717421117896
x237,0.0009867398262454862
x800,0.0009853680841329204
x396,0.0009821673525373775
x382,0.0009702789208959839
x132,0.0009611339734797664
x171,0.0009593049839961232
x598,0.0009570187471420688
x769,0.00095473251028797
x573,0.0009542752629171592
x681,0.000933241883858793
x259,0.0009327846364881153
x225,0.0009112940100591604
x4,0.0008989483310469116
x380,0.0008925468678549376
x435,0.0008866026520344406
x808,0.0008829446730681312
x198,0.0008802011888431327
x418,0.0008728852309094926
x124,0.0008564243255597681
x830,0.0008545953360764802
x494,0.0008459076360309403
x802,0.0008454503886601739
x392,0.0008436213991766639
x648,0.000834019204389369
x445,0.0008335619570186026
x349,0.0008303612254227488
x278,0.0008239597622310857
x123,0.0008221307727478422
x638,0.0008207590306352763
x339,0.0008184727937811332
x158,0.0008033836305438413
x483,0.0008015546410602425
x321,0.0008010973936894317
x795,0.0007924096936443359
x490,0.0007832647462274967
x188,0.0007745770461816459
x119,0.0007572016460902553
x615,0.0007572016460901665
x537,0.0007526291723818357
x62,0.000745313214448462
x9,0.0007434842249654849
x118,0.0007343392775494006
x544,0.0007320530406947689
x744,0.0007306812985822919
x716,0.0007247370827613509
x586,0.0007233653406494067
x212,0.000720621856424275
x391,0.0007165066300867107
x491,0.0007110196616366248
x301,0.0007110196616362697
x125,0.0007087334247823041
x10,0.0007059899405578385
x258,0.0007037037037037397
x621,0.0007027892089618959
x597,0.000701417466849552
x558,0.0006950160036577558
x311,0.0006886145404664034
x692,0.0006812985825329409
x82,0.0006799268404207304
x144,0.000669410150891725
x521,0.0006684956561497923
x660,0.000668495656149437
x58,0.0006648376771834386
x368,0.0006538637402834002
x513,0.0006502057613164691
x8,0.0006465477823502042
x790,0.0006328303612257891
x75,0.0006300868770004354
x265,0.0006232281664376949
x59,0.0006204846822128296
x825,0.0006200274348421963
x49,0.0006200274348421075
x611,0.0006104252400545906
x267,0.0006099679926836021
x520,0.000607224508458426
x386,0.0006008230452671625
x640,0.0005989940557840523
x185,0.0005857338820298263
x509,0.0005834476451758164
x690,0.0005797896662090185
x60,0.0005788751714676632
x136,0.0005761316872429755
x305,0.0005761316872426204
x71,0.0005761316872424427
x596,0.0005669867398260919
x335,0.0005628715134881279
x603,0.0005614997713760062
x117,0.0005610425240052841
x680,0.0005560128029264089
x74,0.0005560128029261868
x789,0.0005532693187009663
x344,0.0005427526291723606
x120,0.0005377229080927304
x400,0.0005326931870143437
x288,0.0005290352080471906
x186,0.0005208047553722839
x760,0.0005171467764059745
x294,0.0005139460448103872
x687,0.0005061728395058029
x722,0.0005048010973936368
x822,0.0004947416552350426
x805,0.0004924554183805441
x46,0.0004919981710107546
x352,0.00048285322359347126
x354,0.0004823959762231933
x796,0.0004814814814812607
x218,0.00047782350251472926
x568,0.00047005029721045586
x229,0.00046867855509806765
x241,0.0004686785550977568
x699,0.00046547782350243595
x673,0.0004654778235023471
x269,0.00046364883401883716
x113,0.0004631915866482039
x393,0.0004627343392772154
x705,0.000459076360310684
x149,0.00045130315500703234
x384,0.00045084590763577737
x52,0.0004481024234112674
x412,0.00044627343392735776
x371,0.0004430727023316372
x553,0.00043758573388168464
x114,0.00043712848651127344
x441,0.0004284407864650674
x109,0.0004252400548692581
x162,0.0004215820759028599
x180,0.0004202103337903829
x683,0.0004115226337444433
x763,0.00040969364426142186
x101,0.000406492912665346
x814,0.0003978052126198062
x20,0.0003955189757653521
x244,0.00038911751257408866
x629,0.0003872885230905343
x243,0.0003804298125281491
x263,0.0003721993598536866
x35,0.00037037037037044305
x146,0.00036716963877392317
x539,0.000354366712391041
x714,0.0003539094650204078
x297,0.0003529949702787416
x256,0.0003525377229079751
x24,0.00034842249657023315
x605,0.0003479652491995111
x422,0.0003465935070873005
x782,0.0003443072702330241
x363,0.0003424782807501359
x281,0.00033607681755798424
x470,0.00033516232281627367
x815,0.00033241883859167485
x631,0.0003301326017373984
x220,0.000328760859624655
x770,0.00032601737540001175
x350,0.00032235939643325827
x556,0.00031732967535389454
x708,0.00031184270690416406
x56,0.0003118427069038976
x67,0.00031047096479190904
x303,0.0003086419753084879
x438,0.00030727023319547796
x524,0.00029903978052070457
x624,0.0002958390489253837
x338,0.00029172382258764175
x195,0.0002912665752166976
x153,0.0002894375857338094
x190,0.00028074988568791424
x340,0.0002789208962044931
x411,0.0002711476909006194
x54,0.00026977594878832003
x197,0.0002688614540461209
x820,0.00026566072245075566
x783,0.00026017375400098073
x154,0.00025971650662968135
x289,0.00025834476451729315
