,importance
x415,2.041114810260225
x115,1.8524201628545678
x742,0.5990892437915804
x641,0.5702194414838564
x458,0.5053498843112758
x507,0.2674290121456266
x194,0.2019728111940894
x485,0.17090485504806452
x334,0.16641807375692355
x133,0.16524134647924574
x242,0.15946768912721496
x325,0.15292242111790197
x209,0.14151473005244247
x362,0.12953017484290205
x159,0.12049052413866582
x642,0.08408085017427849
x315,0.08351760567166114
x27,0.0747877436931903
x465,0.0700558290640234
x231,0.06292581860840345
x702,0.061061516820305126
x726,0.060098645966878764
x113,0.05832603576679842
x531,0.05693777518131605
x546,0.056219229625103936
x200,0.053324758878737354
x720,0.05288954445088284
x2,0.04795031332652218
x538,0.04569423297116165
x654,0.044185778919047576
x349,0.043975244097604706
x410,0.04081035661634866
x92,0.04068521416939516
x711,0.04025958620572969
x828,0.03416040669372993
x766,0.033038540229310236
x23,0.03235630992975097
x287,0.03195507915265736
x640,0.031427111391781906
x309,0.03126947043771461
x671,0.029317704098712063
x547,0.029256935303894366
x286,0.028121994368647863
x817,0.027876388068331204
x310,0.02786240673200339
x254,0.027501975702843937
x306,0.02704985736920552
x788,0.026409140742082317
x342,0.025956681240860504
x320,0.025799354951417018
x748,0.025487574187246446
x712,0.02525129756221246
x665,0.025193866219910564
x193,0.02386001447800681
x15,0.023751354711057993
x173,0.02205268968405644
x440,0.021971204305721248
x42,0.020837359322811496
x312,0.02072463186024399
x240,0.019547703628420496
x172,0.019362551556488083
x562,0.019114971086233445
x675,0.018997123196150625
x29,0.018859102433572465
x233,0.01868282180805691
x662,0.01864172181688825
x230,0.01679120008344684
x176,0.01676782594090904
x232,0.01667738832083672
x326,0.01610599617388439
x214,0.015986910267834976
x276,0.015854968074135355
x721,0.015827448658079998
x829,0.01571847887965941
x496,0.015469337632273875
x477,0.015382117637646964
x383,0.015354718658211886
x447,0.015086619316933347
x177,0.01434358066500905
x484,0.014211888083501129
x731,0.01381171001299762
x769,0.013725175826378022
x572,0.01369663067830059
x40,0.013554225431995833
x768,0.01350135482690921
x456,0.013409978249005998
x528,0.013401936297521694
x437,0.013246128192158967
x18,0.012742704247749714
x6,0.01262347676413729
x380,0.012576488352048137
x527,0.012574550491868772
x350,0.012520547694531986
x260,0.012361875647130623
x196,0.012289345106915343
x542,0.012151884137244058
x479,0.01204695808984363
x590,0.011894867090071344
x512,0.011889524898442458
x378,0.011721786354047414
x452,0.011533900918077163
x696,0.011445162847111551
x824,0.011389256641909968
x451,0.01134234333577432
x257,0.0113251875170976
x706,0.011270643629478366
x644,0.011192190797806225
x404,0.01112107381562112
x406,0.011072526549223938
x548,0.011062036315434265
x659,0.011060981144860435
x734,0.011057948945054625
x203,0.010978295424560509
x648,0.010974656825534921
x0,0.010769437119772213
x293,0.010693522362753616
x327,0.01068018135746074
x819,0.010633848513094136
x178,0.010518162650196918
x213,0.010408048897114075
x345,0.010407208353961143
x703,0.010319689507376
x291,0.010302022118097528
x125,0.010162252821879042
x87,0.010152309654712257
x211,0.010071799600166227
x402,0.010066448425846954
x454,0.010046470035709866
x517,0.010036017046096931
x793,0.009961241725397918
x672,0.009890466815850393
x445,0.009877843577327792
x319,0.009860968530457818
x543,0.00983029889519783
x612,0.00977188227583352
x783,0.009535732540139504
x558,0.009332991310280482
x554,0.009314649283117066
x393,0.009298114711298253
x618,0.009227411842768166
x210,0.009022483477360739
x165,0.008999208388582884
x263,0.008982221355870025
x182,0.008942378494661963
x650,0.008901208210989973
x493,0.008839015215815016
x292,0.008807860063554006
x821,0.008713842666923056
x356,0.00869346091721433
x168,0.008641626766950777
x238,0.008603079898768046
x277,0.008570788643014323
x283,0.008568269825666573
x166,0.00852815800729336
x216,0.008481303688743967
x653,0.008289430880068682
x344,0.008279789691366723
x578,0.008277693442065425
x431,0.008263725154690895
x68,0.00823245447689577
x813,0.00822595964848717
x670,0.008189682939011267
x704,0.00817802373883929
x661,0.008149916829664726
x391,0.008065189780713565
x581,0.00803557468625202
x796,0.008025636466263234
x536,0.007961977965115196
x668,0.00793027839091226
x619,0.007900955617731768
x50,0.007883904319642993
x471,0.00787340551905582
x587,0.007871206045298456
x395,0.007831589261588333
x571,0.007788052923142488
x777,0.007740201503703441
x78,0.007629630303285941
x756,0.007625570882392222
x773,0.007621349413527425
x564,0.00759240663204122
x759,0.007504262165074198
x121,0.007496315936875436
x201,0.007494018975124669
x827,0.007487472852410367
x613,0.007475588605730715
x566,0.007470806597182586
x775,0.007442484886929011
x658,0.007435214300756686
x81,0.0074056506668382
x218,0.007355843765222079
x480,0.007347095688663497
x359,0.007241042739851793
x758,0.007228122553893773
x397,0.007208367837314768
x399,0.007192005869688761
x732,0.007188799615586507
x183,0.00715594394827842
x52,0.007155476122782244
x780,0.0071463865076585534
x610,0.0070613102500242525
x41,0.00705400543136106
x688,0.007019621725975362
x108,0.007002425348125415
x171,0.006944136755314746
x110,0.006903997983565317
x746,0.006897810204356615
x419,0.006886385562800365
x271,0.006885440021823969
x478,0.006866164290711046
x169,0.0068392969096575384
x20,0.006827612146598568
x14,0.006813937102129287
x155,0.006761739871980499
x337,0.006758824692298309
x5,0.006755582838414743
x782,0.0067121100211043104
x154,0.006710303925448738
x396,0.0066885473940842466
x565,0.00667647764844641
x472,0.006655689543617152
x245,0.006645856230696425
x224,0.006634302050139743
x394,0.00662528863604291
x649,0.006572429101516527
x692,0.006561973404636881
x603,0.006556274889241344
x432,0.006556187849663028
x812,0.006554960339450054
x288,0.006554526371320944
x272,0.006541056428800951
x667,0.006513321895873388
x621,0.0064985012322562865
x660,0.006490062973609972
x764,0.006485320524754153
x469,0.006481885918055795
x751,0.006444766455497242
x225,0.0064344620540765455
x520,0.006426966450863836
x223,0.006386797916414694
x778,0.006385374542699299
x805,0.006351656745527207
x678,0.00633460202534079
x443,0.0063335410018814965
x290,0.006330671227509537
x515,0.006327665917256222
x823,0.006326290057337164
x144,0.006295470682861598
x4,0.00625198767380225
x186,0.006247912695873234
x280,0.006209446423290979
x592,0.006165180312153597
x381,0.006158982036086262
x114,0.006128834495083039
x596,0.0061243556738909315
x265,0.0061178700808432775
x423,0.006110734840460182
x498,0.006083639437282387
x504,0.006077178630622587
x34,0.0060767772606619905
x146,0.0060724764200936615
x825,0.006064900550258537
x669,0.006040593695722597
x745,0.006021770096161728
x560,0.006020651606414233
x763,0.005973694645814971
x539,0.005946773764971626
x217,0.005941615564979808
x249,0.005901963726457148
x413,0.00587430321777501
x522,0.005873776340457846
x594,0.005851631464581972
x687,0.005808823171069917
x414,0.00580240161350061
x31,0.005763433354600078
x615,0.005760794601599391
x809,0.005737558911021044
x518,0.005733214266872649
x187,0.00573154089458631
x137,0.005714040268744838
x761,0.005695047300991683
x725,0.005693846801421835
x573,0.005662019360353729
x634,0.005651622256298206
x275,0.0056452774854591735
x157,0.005642451782522262
x526,0.005640692692338675
x686,0.005632366027131143
x161,0.005632016091098993
x598,0.005573060817868544
x259,0.005564854241082534
x95,0.005561054705754382
x716,0.005546536171192671
x624,0.0055395292544086995
x89,0.005539061071547351
x308,0.0055353479236101765
x553,0.0054675293693298025
x103,0.005462459168507238
x150,0.005456249973690816
x444,0.0054345401746206945
x820,0.005431804532701752
x482,0.005420182071576273
x329,0.0054186882200597895
x366,0.005388596462043641
x577,0.0053824033050319285
x328,0.005366404791509688
x425,0.005349023724795665
x298,0.005337315681762994
x51,0.0053247044681384624
x65,0.005314019076975034
x346,0.005308595265733305
x126,0.005298265844320978
x418,0.0052675593642279965
x69,0.005260439032183788
x750,0.005259566762156728
x1,0.005255756091554628
x163,0.005250457703117021
x143,0.0052487941407418776
x26,0.0052385958204229114
x722,0.005237432479540662
x487,0.00523711150036179
x264,0.005235830646187932
x266,0.005230607819532689
x25,0.005209736030406549
x486,0.005202329293220038
x365,0.005197765158277274
x488,0.005195097625780392
x398,0.00518697250339425
x700,0.005186354344241591
x608,0.005172851751726475
x683,0.005168717259134256
x158,0.005165349361475355
x822,0.005160919606640536
x705,0.005140353799542694
x234,0.005125644061262085
x377,0.005118347974363172
x358,0.005115073822885296
x267,0.005109039899520908
x723,0.005098670306276709
